entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,fecha_de_recepcion_de,fecha_de_apertura_de_respuesta,fecha_de_apertura_efectiva,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,fecha_adjudicacion,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.2438754,CMA-DO-SRT-171-2021 (Presentación de oferta),700676059,CO1.BDOS.2337500,INTERVENTORIA TECNICA; ADMINISTRATIVA; FINANCIERA Y AMBIENTAL PARA EL MANTENIMIENTO Y MEJORAMIENTO DE VIAS TERCIARIAS DEL PROGRAMA  COLOMBIA RURAL MUNICIPIOS DEL DEPARTAMENTO DEL ANTIOQUIA GRUPO 8 Y 9,"INTERVENTORIA TECNICA, ADMINISTRATIVA, FINANCIERA Y AMBIENTAL PARA EL MANTENIMIENTO Y MEJORAMIENTO DE VIAS TERCIARIAS DEL PROGRAMA  COLOMBIA RURAL  EN LOS MUNICIPIOS DEL DEPARTAMENTO DEL ANTIOQUIA GRUPOS 8 y 9",Presentación de oferta,2021-11-09,2021-11-09,2021-11-09,6891700000,Concurso de méritos abierto,Ley 1150 de 2007,0,Mes(es),2021-11-19,2021-12-17,2021-12-17,Bogotá,Sudbirección Red Terciaria y Ferrea,0,0,190,0,66,0,0,66,2,Seleccionado,70,Si,CO1.AWD.1198215,715867370,No Definido,Barranquilla,2021-12-20,3369997474,Mariana Triana Ortiz,CONSORCIO PROLATIN INVIAS,No Definido,V1.81102200,Cerrado,Interventoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2377244'},700676059,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.1533722,IDU-CMA-DTM-026-2020 (Presentación de oferta),701946188,CO1.BDOS.1466652,INTERVENTORÍA A LA EJECUCIÓN DE LAS OBRAS Y ACTIVIDADES NECESARIAS PARA LA CONSERVACIÓN DE LA MALLA VIAL ARTERIAL TRONCAL; EN LA CIUDAD DE BOGOTÁ D.C. GRUPOS 1 Y 2. (Presentación de oferta),"INTERVENTORÍA A LA EJECUCIÓN DE LAS OBRAS Y ACTIVIDADES NECESARIAS PARA LA CONSERVACIÓN DE LA MALLA VIAL ARTERIAL TRONCAL, EN LA CIUDAD DE BOGOTÁ D.C. GRUPOS 1 Y 2.",Presentación de oferta,2020-10-05,2020-10-05,2020-10-05,2300848354,Concurso de méritos abierto,Ley 1150 de 2007,9,Mes(es),2020-10-16,2020-11-24,2020-11-24,No Aplica,Dirección Técnica de Mantenimiento,0,0,240,0,79,0,0,79,2,Seleccionado,70,Si,CO1.AWD.884544,701404394,Distrito Capital de Bogotá,No Definido,2020-11-26,1114300817,JOHN JAIRO GAVIRIA GACHA,CB INGENIEROS SAS,860509943,V1.81102200,Cerrado,Interventoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1486930'},701946188,Adjudicado
MUNICIPIO DE PITALITO,891180077,Huila,Pitalito,Territorial,Centralizada,CO1.REQ.4068836,MP-SI-CD-PS186-2023,702330010,CO1.BDOS.3973128,PRESTACIÓN DE SERVICIOS DE ASESORIA COMO MAGISTER EN VIAS PARA LA ESTRUCTURACIÓN Y SUPERVISIÓN DE LOS DIFERENTES PROCESOS DESTINADOS AL MANTENIMIENTO DE VIAS A CARGO DE LA SECRETARIA DE INFRAESTRUCTUR,PRESTACIÓN DE SERVICIOS DE ASESORIA COMO MAGISTER EN VIAS PARA LA ESTRUCTURACIÓN Y SUPERVISIÓN DE LOS DIFERENTES PROCESOS DESTINADOS AL MANTENIMIENTO DE VIAS A CARGO DE LA SECRETARIA DE INFRAESTRUCTURA DEL MUNICIPIO DE PITALITO HUILA.,Presentación de oferta,2023-02-10,2023-02-10,2023-02-10,6324500,Contratación directa,Servicios profesionales y apoyo a la gestión,40,día(s),,,,Pitalito,OFICINA DE CONTRATACIÓN  PAA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,714794047,Huila,Pitalito,,0,No Adjudicado,javier giraldo,1083886304,V1.81102200,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3975476'},702330010,Adjudicado
AEROCIVIL,899999059,Distrito Capital de Bogotá,No Definido,Nacional,Descentralizada,CO1.REQ.5685382,24000089 H3,701110272,CO1.BDOS.5568660,46200C0086 LIDERAR LA GESTION TECNICA ESPECIALIZADA Y ADMINISTRATIVA EN LOS PROYECTOS DEL GRUPO DE INFRAESTRUCTURA AEROPORTUARIA CENTRO SUR - NOROCCIDENTE DE LA DIAA,46200C0086 LIDERAR LA GESTION TECNICA ESPECIALIZADA Y ADMINISTRATIVA EN LOS PROYECTOS DEL GRUPO DE INFRAESTRUCTURA AEROPORTUARIA CENTRO SUR - NOROCCIDENTE DE LA DIAA,Presentación de oferta,2024-02-02,2024-02-02,2024-02-02,173680000,Contratación directa,Servicios profesionales y apoyo a la gestión,330,día(s),,,,Bogotá,NIVEL CENTRAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,707024832,Distrito Capital de Bogotá,No Definido,,0,No Adjudicado,Johann Camilo Silva Rojas,1032442873,V1.81102200,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5576469'},701110272,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.6592245,CMA-DTE-SPI-049-2024 (Presentación de oferta),700676059,CO1.BDOS.6249228,INTERVENTORÍA PARA LOS ESTUDIOS Y DISEÑOS PARA EL APOYO ESPECIALIZADO EN PROGRAMAS; PLANES Y PROYECTOS DEL INVÍAS MEDIANTE EL MODELO DE FÁBRICA (Presentación de oferta),"INTERVENTORÍA PARA LOS ESTUDIOS Y DISEÑOS PARA EL APOYO ESPECIALIZADO EN PROGRAMAS, PLANES Y PROYECTOS DEL INVÍAS MEDIANTE EL MODELO DE FÁBRICA",Presentación de oferta,2024-07-31,2024-07-31,2024-07-31,2819499130,Concurso de méritos abierto,Ley 1150 de 2007,0,Mes(es),2024-08-09,2024-08-09,2024-08-09,Bogotá,Subdirección de Planificación de Infraestructura,0,0,156,0,36,0,0,36,0,Seleccionado,70,Si,CO1.AWD.2012001,727830838,No Definido,Duitama,2024-09-09,2819499130,TATIANA CATHERINE RODRIGUEZ MONROY,CONSORCIO ESTUDIOS MPCL2,901868856,V1.81102200,Cerrado,Interventoría,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6477603'},700676059,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.4496074,CMA-DEO-SGI-011-2023 (Presentación de oferta),700676059,CO1.BDOS.4329898,ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVÍAS; DE LAS DIRECCIÓNES TERRITORIALES HUILA; META Y CUNDINAMARCA LOTES DEL 1 AL 9 - GRUPO 5 (Presentación de oferta),"ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE INVÍAS, DE LAS DIRECCIÓNES TERRITORIALES HUILA, META Y CUNDINAMARCA LOTES DEL 1 AL 9 - GRUPO 5",Presentación de oferta,2023-05-09,2023-05-09,2023-05-09,3452062959,Concurso de méritos abierto,Ley 1150 de 2007,4,Mes(es),2023-05-26,2023-05-26,2023-05-26,Bogotá,Subdirección Gestión Integral de Carreteras Nacionales,0,0,241,0,105,1,0,104,9,Seleccionado,70,Si,CO1.AWD.1660050,701007049,Distrito Capital de Bogotá,No Definido,2023-07-13,382195318,Enrique Carlos Illidge,INTERSA S.A.,8604506443,V1.81102200,Cerrado,Consultoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4397483'},700676059,Adjudicado
GOBERNACIÓN DEPARTAMENTO DEL PUTUMAYO,800094164,Putumayo,Mocoa,Territorial,Centralizada,CO1.REQ.2536207,SID-MC-069-2021,702475393,CO1.BDOS.2460515,CONSULTORIA IDENFITICACION DE PUNTOS CRITICOS TRANSPORTE PRIIT,IDENTIFICACION Y CARACTERIZACION DE PUNTOS CRITICOS SOBRE LOS EJES VIALES ESTRATEGICOS DEL PLAN REGIONAL DE INFRAESTRUCTURA INTERMODAL DE TRANSPORTE PRIIT DEPARTAMENTO DEL PUTUMAYO,Presentación de oferta,2021-12-22,2021-12-22,2021-12-22,50000000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,3,Mes(es),2021-12-24,2021-12-24,2021-12-24,Mocoa,CONTRATACIÓN SECRETARIA DE HACIENDA,0,0,6,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1213825,716251053,Putumayo,Mocoa,2021-12-29,49991900,DANIELA FERNANDA FAJARDO BOLAÑOS,FERNANDO MORALES ESPINOSA,73583245,V1.81102200,Cerrado,Consultoría,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2471723'},702475393,Adjudicado
MUNICIPIO DE SABANETA,890980331,Antioquia,Sabaneta,Territorial,Centralizada,CO1.REQ.2193077,SAB-01-2010-21,702585365,CO1.BDOS.2133189,PRESTACIÓN DE SERVICIOS PROFESIONALES Y APOYO A LA GESTIÓN PARA LA ACTUALIZACIÓN DEL ESTUDIO TÉCNICO DE SEÑALIZACIÓN VIAL EN LA ZONA URBANA Y RURAL DEL MUNICIPIO DE SABANETA EN EL MARCO DE LAS ESTRATE,PRESTACIÓN DE SERVICIOS PROFESIONALES Y APOYO A LA GESTIÓN PARA LA ACTUALIZACIÓN DEL ESTUDIO TÉCNICO DE SEÑALIZACIÓN VIAL EN LA ZONA URBANA Y RURAL DEL MUNICIPIO DE SABANETA EN EL MARCO DE LAS ESTRATEGIAS PARA EL FORTALECIMIENTO DE LA MOVILIDAD Y ESPACIO PÚBLICO Y EL CONTROL AL SISTEMA DE ZONAS DE ESTACIONAMIENTO REGULADO.,Presentación de oferta,2021-07-30,2021-07-30,2021-07-30,238000000,Contratación directa,Servicios profesionales y apoyo a la gestión,3,Mes(es),,,,Sabaneta,Secretaría de Movilidad y Tránsito,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,705488203,Antioquia,Envigado,,0,No Adjudicado,GEOTURISMO COLOMBIA S.A.S,811040568,V1.81102200,Abierto,Prestación de servicios,No Definido,"V180101602, V180111600",{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2136834'},702585365,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.1496464,IDU-CMA-SGI-009-2020 (Presentación de oferta),701946188,CO1.BDOS.1261350,INTERVENTORIA CONSTRUCCION PARA LA ADECUACION AL SISTEMA TRANSMILENIO DE LA TRONCAL AVENIDA CIUDAD DE CALI (Presentación de oferta),INTERVENTORIA INTEGRAL PARA LA CONSTRUCCION PARA LA ADECUACION AL SISTEMA TRANSMILENIO DE LA TRONCAL AVENIDA CIUDAD DE CALI TRAMO 1 - ENTRE LA AVENIDA CIRCUNVALAR DEL SUR Y LA AVENIDA MANUEL CEPEDA VARGAS Y OBRAS COMPLEMENTARIAS EN BOGOTÁ D.C.,Presentación de oferta,2020-09-15,2020-09-15,2020-09-15,51675328137,Concurso de méritos abierto,Ley 1150 de 2007,93,Mes(es),2020-10-05,2020-11-13,2020-11-25,No Aplica,Subdirección General de Infraestructura,0,0,273,0,41,0,0,41,4,Seleccionado,70,Si,CO1.AWD.920406,711203133,No Definido,Bogotá,2020-12-21,15349572479,DTPS 18,CONSORCIO INTER AVENIDAS,No Definido,V1.81102200,Cerrado,Interventoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1450650'},701946188,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.1496464,IDU-CMA-SGI-009-2020 (Presentación de oferta),701946188,CO1.BDOS.1261350,INTERVENTORIA CONSTRUCCION PARA LA ADECUACION AL SISTEMA TRANSMILENIO DE LA TRONCAL AVENIDA CIUDAD DE CALI (Presentación de oferta),INTERVENTORIA INTEGRAL PARA LA CONSTRUCCION PARA LA ADECUACION AL SISTEMA TRANSMILENIO DE LA TRONCAL AVENIDA CIUDAD DE CALI TRAMO 1 - ENTRE LA AVENIDA CIRCUNVALAR DEL SUR Y LA AVENIDA MANUEL CEPEDA VARGAS Y OBRAS COMPLEMENTARIAS EN BOGOTÁ D.C.,Presentación de oferta,2020-09-15,2020-09-15,2020-09-15,51675328137,Concurso de méritos abierto,Ley 1150 de 2007,93,Mes(es),2020-10-05,2020-11-13,2020-11-25,No Aplica,Subdirección General de Infraestructura,0,0,273,0,41,0,0,41,4,Seleccionado,70,Si,CO1.AWD.920406,711203133,No Definido,Bogotá,2020-12-21,15349572479,DTPS 18,CONSORCIO INTER AVENIDAS,No Definido,V1.81102200,Cerrado,Interventoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1450650'},701946188,Adjudicado
